Date,Open,High,Low,Close,Adj Close,Volume
16/03/2022,688.25,707.219971,686.320007,703.52002,703.52002,130847200
17/03/2022,708.73999,710.530029,700.609985,707.450012,707.450012,93160500
18/03/2022,709.950012,716.359985,709.950012,716.359985,716.359985,158150200
21/03/2022,715.419983,721.090027,714.460022,718.369995,718.369995,76082600
22/03/2022,722.190002,730,720.880005,728.27002,728.27002,84912900
23/03/2022,730.840027,732.22998,718.349976,721.809998,721.809998,94836600
24/03/2022,722.090027,723.919983,718.25,720.849976,720.849976,76010300
25/03/2022,721.150024,728.849976,717.919983,723.900024,723.900024,71449200
28/03/2022,724.359985,729.960022,720.359985,720.359985,720.359985,80296200
29/03/2022,729.599976,739.27002,728.960022,735.150024,735.150024,107300
30/03/2022,735.530029,735.530029,730.640015,733.880005,733.880005,73600
31/03/2022,732.590027,735.590027,724.200012,724.200012,724.200012,78100
01/04/2022,725.98999,731.630005,723.320007,728,728,68600
04/04/2022,732.179993,739.219971,728.309998,737.799988,737.799988,64600
05/04/2022,741.309998,743.049988,732.940002,736.02002,736.02002,77300
06/04/2022,734.179993,734.460022,715.369995,719.669983,719.669983,89700
07/04/2022,722.070007,727.330017,715.030029,716.530029,716.530029,73500
08/04/2022,725.349976,727.26001,721.26001,724.75,724.75,74000
11/04/2022,717.75,721.059998,713.23999,714.73999,714.73999,74500
12/04/2022,708.330017,718.690002,705.030029,716.380005,716.380005,83400
13/04/2022,713.22998,718.070007,711.609985,718.070007,718.070007,68400
14/04/2022,719.659973,723.549988,717.02002,719.700012,719.700012,86300
19/04/2022,716.369995,719.830017,707.890015,716.570007,716.570007,84100
20/04/2022,721.73999,730.77002,717.320007,725.609985,725.609985,94600
21/04/2022,727.210022,732.580017,726,729.049988,729.049988,82000
22/04/2022,718.549988,723.780029,716.799988,717.26001,717.26001,77000
25/04/2022,700.950012,708.390015,696.330017,699.169983,699.169983,95700
26/04/2022,711.23999,711.380005,694.219971,695.570007,695.570007,87800
27/04/2022,693.75,699.650024,687.73999,696.349976,696.349976,91000
28/04/2022,704.01001,707.640015,699.419983,705.929993,705.929993,81400
29/04/2022,712.390015,719.099976,709.039978,710.97998,710.97998,84537300
02/05/2022,702.52002,702.52002,694.440002,694.440002,694.440002,70600
03/05/2022,701.73999,706,699.299988,705.950012,705.950012,75500
04/05/2022,706.98999,707.159973,698.679993,698.679993,698.679993,67500
05/05/2022,713.400024,713.400024,694.400024,696.190002,696.190002,87000
06/05/2022,692.280029,692.559998,675.960022,682.190002,682.190002,92100
09/05/2022,677.820007,684.109985,666.169983,666.169983,666.169983,80700
10/05/2022,671.859985,679.590027,669.590027,669.73999,669.73999,82500
11/05/2022,675.359985,683.609985,666.960022,682.700012,682.700012,99100
12/05/2022,663.690002,680.059998,662.219971,675.090027,675.090027,99700
13/05/2022,682.369995,694.679993,680.700012,694.130005,694.130005,83800
16/05/2022,690.080017,696.340027,687.640015,694.619995,694.619995,69200
17/05/2022,699.820007,707.210022,698.289978,702.580017,702.580017,85500
18/05/2022,703.22998,703.75,692.450012,693.030029,693.030029,79900
19/05/2022,681.650024,684.859985,669.419983,678.349976,678.349976,79200
20/05/2022,681.289978,692.190002,681.200012,682.960022,682.960022,74900
23/05/2022,692.219971,694.02002,685.109985,694.02002,694.02002,70700
24/05/2022,685.469971,688.559998,679.700012,679.880005,679.880005,69100
25/05/2022,684.830017,684.830017,684.109985,684.109985,684.109985,66800
26/05/2022,684.539978,694.179993,684.359985,692.799988,692.799988,53400
27/05/2022,694.969971,702.280029,693.059998,702.280029,702.280029,65800
30/05/2022,707.48999,711.669983,706.859985,708.340027,708.340027,58672900
31/05/2022,714.400024,719,711.450012,712.880005,712.880005,156382600
01/06/2022,714.869995,714.869995,700.070007,701.190002,701.190002,72800
02/06/2022,703.150024,705.169983,699.369995,703.440002,703.440002,54300
03/06/2022,707.359985,707.789978,699.830017,700.690002,700.690002,45100
06/06/2022,705.72998,716.130005,705.650024,711.820007,711.820007,55400
07/06/2022,708.52002,710.200012,703.440002,709.140015,709.140015,66100
08/06/2022,714.01001,714.01001,706.400024,710.98999,710.98999,73600
09/06/2022,706.280029,712.440002,699.580017,699.580017,699.580017,71900
10/06/2022,694.609985,695.669983,680.98999,681.969971,681.969971,89500
13/06/2022,670.76001,671.849976,658.950012,661.539978,661.539978,102000
14/06/2022,667.679993,668.75,652.869995,652.869995,652.869995,90600
15/06/2022,656.559998,665.27002,650.27002,663.210022,663.210022,86900
16/06/2022,658.380005,660.419983,636.5,638.340027,638.340027,94900
17/06/2022,637.210022,646.179993,633.440002,635.75,635.75,162100
20/06/2022,636.75,641.429993,633.390015,641.429993,641.429993,54700
21/06/2022,645.419983,651.200012,644.820007,648.030029,648.030029,57000
22/06/2022,638.159973,644.460022,633.719971,641.869995,641.869995,79400
23/06/2022,637.219971,643.219971,632.02002,635.929993,635.929993,81500
24/06/2022,638.820007,660.880005,638.26001,660.320007,660.320007,80500
27/06/2022,662.210022,676.070007,661.419983,670.530029,670.530029,71800
28/06/2022,674.340027,676.109985,668.830017,669.01001,669.01001,75400
29/06/2022,664.090027,669.359985,660.070007,666.570007,666.570007,74450600
30/06/2022,657.26001,660.849976,652.5,659.22998,659.22998,92600
01/07/2022,651.219971,661,648.700012,655.679993,655.679993,75200
04/07/2022,659.140015,661.570007,656.099976,659.609985,659.609985,50690300
05/07/2022,662.789978,664.059998,643.599976,644.219971,644.219971,96403200
06/07/2022,655.27002,661.51001,652.940002,656.710022,656.710022,94600
07/07/2022,665.47998,672.380005,663.119995,671.419983,671.419983,100340800
08/07/2022,671.650024,675.150024,665.72998,674.219971,674.219971,71700
11/07/2022,663.960022,673.369995,662.789978,669.169983,669.169983,53100
12/07/2022,664.880005,672.080017,660.700012,670.679993,670.679993,75800
13/07/2022,670.299988,670.630005,656.659973,665.909973,665.909973,77300
14/07/2022,666.380005,668.460022,654.619995,659.710022,659.710022,73100
15/07/2022,662.52002,672.630005,660.169983,671.919983,671.919983,77773700
18/07/2022,678.679993,683.570007,676.919983,681.099976,681.099976,65445400
19/07/2022,674.23999,691.059998,673.349976,689.469971,689.469971,67573600
20/07/2022,688.73999,695.27002,685.890015,694.409973,694.409973,74200
21/07/2022,694.48999,704.609985,694.159973,704.609985,704.609985,81900
22/07/2022,704.179993,711,702.77002,705.039978,705.039978,69400
25/07/2022,702.789978,707.080017,699.469971,707.01001,707.01001,72200
26/07/2022,708.679993,712.190002,705.210022,706.26001,706.26001,68900
27/07/2022,711.049988,716.640015,709.909973,713.530029,713.530029,70700
28/07/2022,718.619995,722.380005,713.52002,722.380005,722.380005,90000
29/07/2022,722.72998,732.580017,722.539978,729.440002,729.440002,100000
01/08/2022,728.679993,732.409973,725.309998,728.179993,728.179993,73400
02/08/2022,726.880005,727.02002,720.859985,725.75,725.75,72300
03/08/2022,726.700012,735.02002,725.01001,734.530029,734.530029,71700
04/08/2022,732.559998,736.340027,729.719971,731.580017,731.580017,80200
05/08/2022,730.289978,732.190002,720.48999,722.73999,722.73999,74900
08/08/2022,728.210022,733.280029,725.830017,727.869995,727.869995,60000
09/08/2022,727.099976,728.179993,716.47998,716.929993,716.929993,60900
10/08/2022,712.820007,725.219971,712.669983,724.27002,724.27002,74600
11/08/2022,728.539978,729.849976,723.210022,725.789978,725.789978,80922300
12/08/2022,723.659973,726.590027,720.210022,725.76001,725.76001,68656000
15/08/2022,729.669983,730.390015,722.049988,728.880005,728.880005,52007600
16/08/2022,731.429993,732.289978,725.469971,728.109985,728.109985,68000
17/08/2022,730.580017,730.619995,722.460022,723.090027,723.090027,56400
18/08/2022,719.030029,726.109985,716.039978,725.859985,725.859985,55800
19/08/2022,722.169983,728.190002,719.070007,719.52002,719.52002,75500
